Augmentation Type,Value,Top1 Accuracy
affine,10_0.1_0.8_1.2,0.9038461538461539
affine,15_0.15_0.7_1.3,0.8894230769230769
affine,5_0.05_0.9_1.1,0.9182692307692307
auto_augment,imagenet,0.9326923076923077
auto_augment,randaugment,0.9230769230769231
auto_augment,trivialaugmentwide,0.9278846153846154
autocontrast_p,0.3,0.8365384615384616
autocontrast_p,0.5,0.8269230769230769
autocontrast_p,0.7,0.8605769230769231
color_jitter,0.1_0.1_0.1_0.05,0.8365384615384616
color_jitter,0.2_0.2_0.2_0.1,0.8509615384615384
color_jitter,0.3_0.3_0.3_0.15,0.8798076923076923
equalize_p,0.3,0.8798076923076923
equalize_p,0.5,0.8557692307692307
equalize_p,0.7,0.8461538461538461
gaussian_blur,3_1.0,0.8365384615384616
gaussian_blur,5_2.0,0.8365384615384616
gaussian_blur,7_3.0,0.7451923076923077
grayscale_p,0.1,0.8798076923076923
grayscale_p,0.2,0.8653846153846154
grayscale_p,0.3,0.8653846153846154
perspective,0.3_0.3,0.8846153846153846
perspective,0.5_0.5,0.9038461538461539
perspective,0.7_0.7,0.9326923076923077
posterize_bits,2,0.8365384615384616
posterize_bits,4,0.8557692307692307
posterize_bits,6,0.8461538461538461
random_resize,140_308,0.8269230769230769
random_resize,160_288,0.8413461538461539
random_resize,180_270,0.8413461538461539
resize,0,0.8269230769230769
resize,150,0.8509615384615384
resize,200,0.8461538461538461
resize,256,0.8413461538461539
rotation_degrees,15,0.8990384615384616
rotation_degrees,30,0.9182692307692307
rotation_degrees,45,0.9230769230769231
random_resized_crop,0.6_1.4,0.8798076923076923
random_resized_crop,0.7_1.3,0.8798076923076923
random_resized_crop,0.8_1.2,0.8846153846153846
sharpness_factor,1.5,0.8557692307692307
sharpness_factor,2.0,0.8413461538461539
sharpness_factor,2.5,0.8509615384615384
solarize_threshold,128,0.8846153846153846
solarize_threshold,192,0.8173076923076923
solarize_threshold,64,0.8653846153846154
zoom_out,1.0_1.3,0.9086538461538461
zoom_out,1.0_1.5,0.9038461538461539
zoom_out,1.0_1.7,0.9038461538461539
