Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
312	0.04,	0.4,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A(190)	0.927
9	0.0,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 3090	103,	0.921
72	0.01,	0.0,	0.0,	NVIDIA GeForce RTX 3090	103,	0.921
36	0.005,	0.0,	0.0,	NVIDIA GeForce RTX 3090	103,	0.921
26	0.0,	0.4,	0.2,	NVIDIA GeForce RTX 3090	103,	0.921
85	0.01,	0.2,	0.1,	NVIDIA GeForce RTX 3090	103,	0.921
154	0.02,	0.1,	0.4,	NVIDIA GeForce RTX 3090	103,	0.921
286	0.035,	0.5,	0.4,	NVIDIA GeForce RTX 3090	103,	0.921
50	0.005,	0.2,	0.2,	NVIDIA GeForce RTX 3090	103,	0.921
11	0.0,	0.1,	0.5,	NVIDIA GeForce RTX 3090	103,	0.921
131	0.015,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 3090	103,	0.921
10	0.0,	0.1,	0.4,	NVIDIA GeForce RTX 3090	103,	0.921
178	0.02,	0.5,	0.4,	NVIDIA GeForce RTX 3090	103,	0.921
188	0.025,	0.1,	0.2,	NVIDIA GeForce RTX 3090	103,	0.921
160	0.02,	0.2,	0.4,	NVIDIA GeForce RTX 3090	103,	0.921
25	0.0,	0.4,	0.1,	NVIDIA GeForce RTX 3090	103,	0.921
251	0.03,	0.5,	0.5,	NVIDIA GeForce RTX 3090	103,	0.921
84	0.01,	0.2,	0.0,	NVIDIA GeForce RTX 3090	103,	0.921
309	0.04,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 3090	103,	0.921
292	0.04,	0.0,	0.4,	NVIDIA GeForce RTX 3090	103,	0.921
12	0.0,	0.2,	0.0,	NVIDIA GeForce RTX 3090	103,	0.921
262	0.035,	0.1,	0.4,	NVIDIA GeForce RTX 3090	103,	0.921
13	0.0,	0.2,	0.1,	NVIDIA GeForce RTX 3090	103,	0.921
37	0.005,	0.0,	0.1,	NVIDIA GeForce RTX 3090	103,	0.921
143	0.015,	0.5,	0.5,	NVIDIA GeForce RTX 3090	103,	0.921
106	0.01,	0.5,	0.4,	NVIDIA GeForce RTX 3090	103,	0.921
276	0.035,	0.4,	0.0,	NVIDIA GeForce RTX 3090	103,	0.921
24	0.0,	0.4,	0.0,	NVIDIA GeForce RTX 3090	103,	0.921
168	0.02,	0.4,	0.0,	NVIDIA GeForce RTX 3090	103,	0.921
61	0.005,	0.4,	0.1,	NVIDIA GeForce RTX 3090	103,	0.921
300	0.04,	0.2,	0.0,	NVIDIA GeForce RTX 3090	103,	0.921
20	0.0,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 3090	103,	0.921
320	0.04,	0.5,	0.2,	NVIDIA GeForce RTX 3090	103,	0.921
117	0.015,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 3090	103,	0.921
269	0.035,	0.2,	0.5,	NVIDIA GeForce RTX 3090	103,	0.921
38	0.005,	0.0,	0.2,	NVIDIA GeForce RTX 3090	103,	0.921
293	0.04,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	145,	0.916
214	0.025,	0.5,	0.4,	NVIDIA GeForce RTX 2080 Ti	103,	0.904
83	0.01,	0.1,	0.5,	NVIDIA GeForce RTX 2080 Ti	78,	0.902
59	0.005,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	78,	0.897
157	0.02,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A(91)	0.895
198	0.025,	0.30000000000000004,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A(114)	0.895
263	0.035,	0.1,	0.5,	NVIDIA GeForce RTX 2080 Ti	78,	0.891
71	0.005,	0.5,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.889
51	0.005,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
147	0.02,	0.0,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
127	0.015,	0.30000000000000004,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
307	0.04,	0.30000000000000004,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
194	0.025,	0.2,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
166	0.02,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
43	0.005,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
162	0.02,	0.30000000000000004,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
231	0.03,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
108	0.015,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
265	0.035,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
28	0.0,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
27	0.0,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
