Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
153	0.02,	0.7,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.931
51	0.005,	0.7999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 3090	N/A	0.927
147	0.02,	0.6,	0.30000000000000004,	NVIDIA GeForce RTX 3090	N/A	0.927
127	0.015,	0.8999999999999999,	0.1,	NVIDIA GeForce RTX 3090	N/A	0.927
72	0.01,	0.6,	0.0,	NVIDIA GeForce RTX 3090	N/A	0.927
28	0.0,	0.9999999999999999,	0.4,	NVIDIA GeForce RTX 3090	N/A	0.927
96	0.01,	0.9999999999999999,	0.0,	NVIDIA GeForce RTX 3090	N/A	0.927
169	0.02,	0.9999999999999999,	0.1,	NVIDIA GeForce RTX 3090	N/A	0.927
195	0.025,	0.7999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 3090	N/A	0.927
189	0.025,	0.7,	0.30000000000000004,	NVIDIA GeForce RTX 3090	N/A	0.927
100	0.01,	0.9999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.927
111	0.015,	0.6,	0.30000000000000004,	NVIDIA GeForce RTX 3090	N/A	0.927
7	0.0,	0.7,	0.1,	NVIDIA GeForce RTX 3090	N/A	0.927
165	0.02,	0.8999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 3090	N/A	0.927
137	0.015,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 3090	N/A	0.927
180	0.025,	0.6,	0.0,	NVIDIA GeForce RTX 3090	N/A	0.927
155	0.02,	0.7,	0.5,	NVIDIA GeForce RTX 3090	N/A	0.927
163	0.02,	0.8999999999999999,	0.1,	NVIDIA GeForce RTX 3090	N/A	0.927
119	0.015,	0.7,	0.5,	NVIDIA GeForce RTX 3090	N/A	0.927
13	0.0,	0.7999999999999999,	0.1,	NVIDIA GeForce RTX 3090	N/A	0.927
183	0.025,	0.6,	0.30000000000000004,	NVIDIA GeForce RTX 3090	N/A	0.927
60	0.005,	0.9999999999999999,	0.0,	NVIDIA GeForce RTX 3090	N/A	0.927
65	0.005,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 3090	N/A	0.927
80	0.01,	0.7,	0.2,	NVIDIA GeForce RTX 3090	N/A	0.927
